cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs
Epoch: 0
 [>................................................................] 1/79   Step: 1m1s | Tot: 0ms | Loss: 0.635 | Acc: 82.812% (212/256)              
 [==============================>..................................] 20/40   Step: 418ms | Tot: 8s313ms | Loss: 1.286 | Acc: 71.328% (3652/5120)              
 [================================>................................] 21/40   Step: 416ms | Tot: 8s730ms | Loss: 1.285 | Acc: 71.447% (3841/5376)              
 [==================================>..............................] 22/40   Step: 517ms | Tot: 9s247ms | Loss: 1.278 | Acc: 71.591% (4032/5632)              
 [===================================>.............................] 23/40   Step: 415ms | Tot: 9s663ms | Loss: 1.289 | Acc: 71.535% (4212/5888)              
 [=====================================>...........................] 24/40   Step: 416ms | Tot: 10s79ms | Loss: 1.290 | Acc: 71.403% (4387/6144)              
 [=======================================>.........................] 25/40   Step: 414ms | Tot: 10s494ms | Loss: 1.288 | Acc: 71.281% (4562/6400)              
 [========================================>........................] 26/40   Step: 414ms | Tot: 10s909ms | Loss: 1.290 | Acc: 71.154% (4736/6656)              
 [==========================================>......................] 27/40   Step: 414ms | Tot: 11s324ms | Loss: 1.292 | Acc: 71.166% (4919/6912)              
 [===========================================>.....................] 28/40   Step: 516ms | Tot: 11s840ms | Loss: 1.284 | Acc: 71.289% (5110/7168)              
 [=============================================>...................] 29/40   Step: 414ms | Tot: 12s254ms | Loss: 1.280 | Acc: 71.363% (5298/7424)              
 [===============================================>.................] 30/40   Step: 414ms | Tot: 12s669ms | Loss: 1.278 | Acc: 71.445% (5487/7680)              
 [================================================>................] 31/40   Step: 415ms | Tot: 13s84ms | Loss: 1.281 | Acc: 71.434% (5669/7936)              
 [==================================================>..............] 32/40   Step: 414ms | Tot: 13s498ms | Loss: 1.280 | Acc: 71.411% (5850/8192)              
 [====================================================>............] 33/40   Step: 414ms | Tot: 13s913ms | Loss: 1.280 | Acc: 71.259% (6020/8448)              
 [=====================================================>...........] 34/40   Step: 515ms | Tot: 14s429ms | Loss: 1.286 | Acc: 71.105% (6189/8704)              
 [=======================================================>.........] 35/40   Step: 415ms | Tot: 14s844ms | Loss: 1.286 | Acc: 71.150% (6375/8960)              
 [========================================================>........] 36/40   Step: 375ms | Tot: 15s220ms | Loss: 1.286 | Acc: 71.170% (6559/9216)              
 [==========================================================>......] 37/40   Step: 370ms | Tot: 15s591ms | Loss: 1.291 | Acc: 71.104% (6735/9472)              
 [============================================================>....] 38/40   Step: 374ms | Tot: 15s966ms | Loss: 1.283 | Acc: 71.207% (6927/9728)              
 [=============================================================>...] 39/40   Step: 371ms | Tot: 16s337ms | Loss: 1.291 | Acc: 71.124% (7101/9984)              
 [===============================================================>.] 40/40   Step: 473ms | Tot: 16s811ms | Loss: 1.291 | Acc: 71.130% (7113/10000)
Saving with better validation accuracy model: 71.130..

Epoch: 14
 [>................................................................] 1/79   Step: 1s931ms | Tot: 0ms | Loss: 0.069 | Acc: 98.828% (253/256)              
 [>................................................................] 2/79   Step: 965ms | Tot: 965ms | Loss: 0.055 | Acc: 99.414% (509/512)              
 [=>...............................................................] 3/79   Step: 964ms | Tot: 1s929ms | Loss: 0.056 | Acc: 99.349% (763/768)              
 [==>..............................................................] 4/79   Step: 970ms | Tot: 2s900ms | Loss: 0.055 | Acc: 99.414% (1018/1024)              
 [===>.............................................................] 5/79   Step: 1s124ms | Tot: 4s24ms | Loss: 0.054 | Acc: 99.375% (1272/1280)              
 [====>............................................................] 6/79   Step: 964ms | Tot: 4s988ms | Loss: 0.048 | Acc: 99.479% (1528/1536)              
 [====>............................................................] 7/79   Step: 965ms | Tot: 5s954ms | Loss: 0.049 | Acc: 99.386% (1781/1792)              
 [=====>...........................................................] 8/79   Step: 963ms | Tot: 6s917ms | Loss: 0.048 | Acc: 99.414% (2036/2048)              
 [======>..........................................................] 9/79   Step: 963ms | Tot: 7s881ms | Loss: 0.049 | Acc: 99.436% (2291/2304)              
 [=======>.........................................................] 10/79   Step: 1s77ms | Tot: 8s959ms | Loss: 0.053 | Acc: 99.258% (2541/2560)              
 [========>........................................................] 11/79   Step: 965ms | Tot: 9s925ms | Loss: 0.052 | Acc: 99.290% (2796/2816)              
 [=========>.......................................................] 12/79   Step: 962ms | Tot: 10s887ms | Loss: 0.051 | Acc: 99.316% (3051/3072)              
 [=========>.......................................................] 13/79   Step: 961ms | Tot: 11s848ms | Loss: 0.052 | Acc: 99.249% (3303/3328)              
 [==========>......................................................] 14/79   Step: 1s65ms | Tot: 12s914ms | Loss: 0.052 | Acc: 99.219% (3556/3584)              
 [===========>.....................................................] 15/79   Step: 961ms | Tot: 13s875ms | Loss: 0.052 | Acc: 99.167% (3808/3840)              
 [============>....................................................] 16/79   Step: 960ms | Tot: 14s835ms | Loss: 0.052 | Acc: 99.194% (4063/4096)              
 [=============>...................................................] 17/79   Step: 964ms | Tot: 15s800ms | Loss: 0.053 | Acc: 99.173% (4316/4352)              
 [=============>...................................................] 18/79   Step: 959ms | Tot: 16s759ms | Loss: 0.055 | Acc: 99.089% (4566/4608)              
 [==============>..................................................] 19/79   Step: 1s61ms | Tot: 17s821ms | Loss: 0.056 | Acc: 99.054% (4818/4864)              
 [===============>.................................................] 20/79   Step: 976ms | Tot: 18s797ms | Loss: 0.057 | Acc: 99.023% (5070/5120)              
 [================>................................................] 21/79   Step: 961ms | Tot: 19s759ms | Loss: 0.058 | Acc: 98.958% (5320/5376)              
 [=================>...............................................] 22/79   Step: 960ms | Tot: 20s720ms | Loss: 0.058 | Acc: 98.970% (5574/5632)              
 [==================>..............................................] 23/79   Step: 1s64ms | Tot: 21s784ms | Loss: 0.060 | Acc: 98.913% (5824/5888)              
 [==================>..............................................] 24/79   Step: 965ms | Tot: 22s750ms | Loss: 0.060 | Acc: 98.877% (6075/6144)              
 [===================>.............................................] 25/79   Step: 961ms | Tot: 23s711ms | Loss: 0.060 | Acc: 98.891% (6329/6400)              
 [====================>............................................] 26/79   Step: 959ms | Tot: 24s671ms | Loss: 0.061 | Acc: 98.828% (6578/6656)              
 [=====================>...........................................] 27/79   Step: 965ms | Tot: 25s636ms | Loss: 0.063 | Acc: 98.756% (6826/6912)              
 [======================>..........................................] 28/79   Step: 1s61ms | Tot: 26s698ms | Loss: 0.064 | Acc: 98.703% (7075/7168)              
 [=======================>.........................................] 29/79   Step: 960ms | Tot: 27s659ms | Loss: 0.063 | Acc: 98.747% (7331/7424)              
 [=======================>.........................................] 30/79   Step: 982ms | Tot: 28s641ms | Loss: 0.064 | Acc: 98.724% (7582/7680)              
 [========================>........................................] 31/79   Step: 964ms | Tot: 29s605ms | Loss: 0.063 | Acc: 98.753% (7837/7936)              
 [=========================>.......................................] 32/79   Step: 960ms | Tot: 30s566ms | Loss: 0.064 | Acc: 98.755% (8090/8192)              
 [==========================>......................................] 33/79   Step: 1s61ms | Tot: 31s627ms | Loss: 0.064 | Acc: 98.733% (8341/8448)              
 [===========================>.....................................] 34/79   Step: 967ms | Tot: 32s595ms | Loss: 0.063 | Acc: 98.759% (8596/8704)              
 [===========================>.....................................] 35/79   Step: 964ms | Tot: 33s559ms | Loss: 0.063 | Acc: 98.783% (8851/8960)              
 [============================>....................................] 36/79   Step: 966ms | Tot: 34s525ms | Loss: 0.062 | Acc: 98.806% (9106/9216)              
 [=============================>...................................] 37/79   Step: 1s67ms | Tot: 35s592ms | Loss: 0.062 | Acc: 98.807% (9359/9472)              
 [==============================>..................................] 38/79   Step: 963ms | Tot: 36s556ms | Loss: 0.063 | Acc: 98.777% (9609/9728)              
 [===============================>.................................] 39/79   Step: 960ms | Tot: 37s516ms | Loss: 0.063 | Acc: 98.758% (9860/9984)              
 [================================>................................] 40/79   Step: 983ms | Tot: 38s500ms | Loss: 0.063 | Acc: 98.740% (10111/10240)              
 [================================>................................] 41/79   Step: 962ms | Tot: 39s463ms | Loss: 0.063 | Acc: 98.733% (10363/10496)              
 [=================================>...............................] 42/79   Step: 1s60ms | Tot: 40s523ms | Loss: 0.063 | Acc: 98.744% (10617/10752)              
 [==================================>..............................] 43/79   Step: 964ms | Tot: 41s488ms | Loss: 0.063 | Acc: 98.746% (10870/11008)              
 [===================================>.............................] 44/79   Step: 961ms | Tot: 42s450ms | Loss: 0.063 | Acc: 98.748% (11123/11264)              
 [====================================>............................] 45/79   Step: 967ms | Tot: 43s417ms | Loss: 0.062 | Acc: 98.776% (11379/11520)              
 [=====================================>...........................] 46/79   Step: 1s64ms | Tot: 44s482ms | Loss: 0.063 | Acc: 98.777% (11632/11776)              
 [=====================================>...........................] 47/79   Step: 965ms | Tot: 45s447ms | Loss: 0.063 | Acc: 98.770% (11884/12032)              
 [======================================>..........................] 48/79   Step: 965ms | Tot: 46s412ms | Loss: 0.064 | Acc: 98.747% (12134/12288)              
 [=======================================>.........................] 49/79   Step: 967ms | Tot: 47s380ms | Loss: 0.063 | Acc: 98.772% (12390/12544)              
 [========================================>........................] 50/79   Step: 993ms | Tot: 48s374ms | Loss: 0.063 | Acc: 98.758% (12641/12800)              
 [=========================================>.......................] 51/79   Step: 1s66ms | Tot: 49s441ms | Loss: 0.063 | Acc: 98.782% (12897/13056)              
 [=========================================>.......................] 52/79   Step: 959ms | Tot: 50s400ms | Loss: 0.063 | Acc: 98.776% (13149/13312)              
 [==========================================>......................] 53/79   Step: 966ms | Tot: 51s366ms | Loss: 0.063 | Acc: 98.791% (13404/13568)              
 [===========================================>.....................] 54/79   Step: 966ms | Tot: 52s333ms | Loss: 0.063 | Acc: 98.799% (13658/13824)              
 [============================================>....................] 55/79   Step: 963ms | Tot: 53s296ms | Loss: 0.063 | Acc: 98.793% (13910/14080)              
 [=============================================>...................] 56/79   Step: 1s62ms | Tot: 54s359ms | Loss: 0.063 | Acc: 98.800% (14164/14336)              
 [==============================================>..................] 57/79   Step: 961ms | Tot: 55s320ms | Loss: 0.063 | Acc: 98.794% (14416/14592)              
 [==============================================>..................] 58/79   Step: 964ms | Tot: 56s285ms | Loss: 0.063 | Acc: 98.788% (14668/14848)              
 [===============================================>.................] 59/79   Step: 961ms | Tot: 57s247ms | Loss: 0.063 | Acc: 98.788% (14921/15104)              
 [================================================>................] 60/79   Step: 1s81ms | Tot: 58s329ms | Loss: 0.063 | Acc: 98.796% (15175/15360)              
 [=================================================>...............] 61/79   Step: 960ms | Tot: 59s289ms | Loss: 0.063 | Acc: 98.809% (15430/15616)              
 [==================================================>..............] 62/79   Step: 960ms | Tot: 1m250ms | Loss: 0.063 | Acc: 98.790% (15680/15872)              
 [===================================================>.............] 63/79   Step: 964ms | Tot: 1m1s | Loss: 0.063 | Acc: 98.791% (15933/16128)              
 [===================================================>.............] 64/79   Step: 963ms | Tot: 1m2s | Loss: 0.063 | Acc: 98.779% (16184/16384)              
 [====================================================>............] 65/79   Step: 1s67ms | Tot: 1m3s | Loss: 0.063 | Acc: 98.792% (16439/16640)              
 [=====================================================>...........] 66/79   Step: 962ms | Tot: 1m4s | Loss: 0.063 | Acc: 98.787% (16691/16896)              
 [======================================================>..........] 67/79   Step: 965ms | Tot: 1m5s | Loss: 0.063 | Acc: 98.787% (16944/17152)              
 [=======================================================>.........] 68/79   Step: 967ms | Tot: 1m6s | Loss: 0.063 | Acc: 98.788% (17197/17408)              
 [=======================================================>.........] 69/79   Step: 1s65ms | Tot: 1m7s | Loss: 0.063 | Acc: 98.794% (17451/17664)              
 [========================================================>........] 70/79   Step: 963ms | Tot: 1m8s | Loss: 0.064 | Acc: 98.767% (17699/17920)              
 [=========================================================>.......] 71/79   Step: 978ms | Tot: 1m9s | Loss: 0.064 | Acc: 98.768% (17952/18176)              
 [==========================================================>......] 72/79   Step: 964ms | Tot: 1m10s | Loss: 0.063 | Acc: 98.774% (18206/18432)              
 [===========================================================>.....] 73/79   Step: 961ms | Tot: 1m11s | Loss: 0.063 | Acc: 98.769% (18458/18688)              
 [============================================================>....] 74/79   Step: 1s61ms | Tot: 1m12s | Loss: 0.063 | Acc: 98.770% (18711/18944)              
 [============================================================>....] 75/79   Step: 867ms | Tot: 1m13s | Loss: 0.064 | Acc: 98.771% (18964/19200)              
 [=============================================================>...] 76/79   Step: 851ms | Tot: 1m13s | Loss: 0.064 | Acc: 98.766% (19216/19456)              
 [==============================================================>..] 77/79   Step: 850ms | Tot: 1m14s | Loss: 0.064 | Acc: 98.762% (19468/19712)              
 [===============================================================>.] 78/79   Step: 850ms | Tot: 1m15s | Loss: 0.064 | Acc: 98.758% (19720/19968)              
 [================================================================>] 79/79   Step: 963ms | Tot: 1m16s | Loss: 0.065 | Acc: 98.730% (19746/20000)
 [>................................................................] 1/40   Step: 1s102ms | Tot: 0ms | Loss: 1.129 | Acc: 71.875% (184/256)              
 [=>...............................................................] 2/40   Step: 418ms | Tot: 418ms | Loss: 1.091 | Acc: 74.023% (379/512)              
 [===>.............................................................] 3/40   Step: 440ms | Tot: 858ms | Loss: 1.169 | Acc: 71.745% (551/768)              
 [====>............................................................] 4/40   Step: 417ms | Tot: 1s275ms | Loss: 1.188 | Acc: 71.875% (736/1024)              
 [======>..........................................................] 5/40   Step: 573ms | Tot: 1s849ms | Loss: 1.249 | Acc: 70.781% (906/1280)              
 [========>........................................................] 6/40   Step: 418ms | Tot: 2s267ms | Loss: 1.259 | Acc: 71.029% (1091/1536)              
 [=========>.......................................................] 7/40   Step: 417ms | Tot: 2s685ms | Loss: 1.289 | Acc: 70.815% (1269/1792)              
 [===========>.....................................................] 8/40   Step: 416ms | Tot: 3s102ms | Loss: 1.284 | Acc: 70.801% (1450/2048)              
 [=============>...................................................] 9/40   Step: 417ms | Tot: 3s519ms | Loss: 1.291 | Acc: 70.920% (1634/2304)              
 [==============>..................................................] 10/40   Step: 519ms | Tot: 4s39ms | Loss: 1.288 | Acc: 71.211% (1823/2560)              
 [================>................................................] 11/40   Step: 418ms | Tot: 4s457ms | Loss: 1.288 | Acc: 71.378% (2010/2816)              
 [=================>...............................................] 12/40   Step: 416ms | Tot: 4s874ms | Loss: 1.299 | Acc: 71.322% (2191/3072)              
 [===================>.............................................] 13/40   Step: 416ms | Tot: 5s290ms | Loss: 1.298 | Acc: 71.124% (2367/3328)              
 [=====================>...........................................] 14/40   Step: 417ms | Tot: 5s707ms | Loss: 1.310 | Acc: 70.982% (2544/3584)              
 [======================>..........................................] 15/40   Step: 416ms | Tot: 6s124ms | Loss: 1.296 | Acc: 71.198% (2734/3840)              
 [========================>........................................] 16/40   Step: 524ms | Tot: 6s649ms | Loss: 1.297 | Acc: 71.143% (2914/4096)              
 [==========================>......................................] 17/40   Step: 416ms | Tot: 7s65ms | Loss: 1.300 | Acc: 71.278% (3102/4352)              
 [===========================>.....................................] 18/40   Step: 417ms | Tot: 7s483ms | Loss: 1.302 | Acc: 71.246% (3283/4608)              
 [=============================>...................................] 19/40   Step: 418ms | Tot: 7s901ms | Loss: 1.302 | Acc: 71.135% (3460/4864)              
 [==============================>..................................] 20/40   Step: 417ms | Tot: 8s318ms | Loss: 1.291 | Acc: 71.348% (3653/5120)              
 [================================>................................] 21/40   Step: 519ms | Tot: 8s838ms | Loss: 1.289 | Acc: 71.336% (3835/5376)              
 [==================================>..............................] 22/40   Step: 416ms | Tot: 9s255ms | Loss: 1.283 | Acc: 71.431% (4023/5632)              
 [===================================>.............................] 23/40   Step: 416ms | Tot: 9s671ms | Loss: 1.293 | Acc: 71.416% (4205/5888)              
 [=====================================>...........................] 24/40   Step: 416ms | Tot: 10s87ms | Loss: 1.294 | Acc: 71.354% (4384/6144)              
 [=======================================>.........................] 25/40   Step: 416ms | Tot: 10s504ms | Loss: 1.293 | Acc: 71.281% (4562/6400)              
 [========================================>........................] 26/40   Step: 432ms | Tot: 10s936ms | Loss: 1.293 | Acc: 71.169% (4737/6656)              
 [==========================================>......................] 27/40   Step: 514ms | Tot: 11s451ms | Loss: 1.296 | Acc: 71.094% (4914/6912)              
 [===========================================>.....................] 28/40   Step: 414ms | Tot: 11s866ms | Loss: 1.290 | Acc: 71.164% (5101/7168)              
 [=============================================>...................] 29/40   Step: 415ms | Tot: 12s281ms | Loss: 1.285 | Acc: 71.242% (5289/7424)              
 [===============================================>.................] 30/40   Step: 415ms | Tot: 12s697ms | Loss: 1.284 | Acc: 71.276% (5474/7680)              
 [================================================>................] 31/40   Step: 416ms | Tot: 13s113ms | Loss: 1.286 | Acc: 71.232% (5653/7936)              
 [==================================================>..............] 32/40   Step: 517ms | Tot: 13s631ms | Loss: 1.284 | Acc: 71.228% (5835/8192)              
 [====================================================>............] 33/40   Step: 416ms | Tot: 14s47ms | Loss: 1.285 | Acc: 71.117% (6008/8448)              
 [=====================================================>...........] 34/40   Step: 419ms | Tot: 14s467ms | Loss: 1.292 | Acc: 70.979% (6178/8704)              
 [=======================================================>.........] 35/40   Step: 421ms | Tot: 14s888ms | Loss: 1.292 | Acc: 71.060% (6367/8960)              
 [========================================================>........] 36/40   Step: 376ms | Tot: 15s265ms | Loss: 1.290 | Acc: 71.061% (6549/9216)              
 [==========================================================>......] 37/40   Step: 373ms | Tot: 15s638ms | Loss: 1.294 | Acc: 70.999% (6725/9472)              
 [============================================================>....] 38/40   Step: 472ms | Tot: 16s111ms | Loss: 1.288 | Acc: 71.094% (6916/9728)              
 [=============================================================>...] 39/40   Step: 372ms | Tot: 16s483ms | Loss: 1.295 | Acc: 71.034% (7092/9984)              
 [===============================================================>.] 40/40   Step: 372ms | Tot: 16s856ms | Loss: 1.295 | Acc: 71.040% (7104/10000)

Epoch: 15
 [>................................................................] 1/79   Step: 1s936ms | Tot: 0ms | Loss: 0.055 | Acc: 99.219% (254/256)              
 [>................................................................] 2/79   Step: 963ms | Tot: 963ms | Loss: 0.061 | Acc: 98.633% (505/512)              
 [=>...............................................................] 3/79   Step: 1s137ms | Tot: 2s101ms | Loss: 0.062 | Acc: 98.698% (758/768)              
 [==>..............................................................] 4/79   Step: 963ms | Tot: 3s64ms | Loss: 0.063 | Acc: 98.730% (1011/1024)              
 [===>.............................................................] 5/79   Step: 966ms | Tot: 4s30ms | Loss: 0.059 | Acc: 98.984% (1267/1280)              
 [====>............................................................] 6/79   Step: 963ms | Tot: 4s994ms | Loss: 0.055 | Acc: 99.089% (1522/1536)              
 [====>............................................................] 7/79   Step: 1s67ms | Tot: 6s61ms | Loss: 0.056 | Acc: 99.051% (1775/1792)              
 [=====>...........................................................] 8/79   Step: 968ms | Tot: 7s29ms | Loss: 0.058 | Acc: 99.023% (2028/2048)              
 [======>..........................................................] 9/79   Step: 964ms | Tot: 7s993ms | Loss: 0.058 | Acc: 98.958% (2280/2304)              
 [=======>.........................................................] 10/79   Step: 961ms | Tot: 8s954ms | Loss: 0.058 | Acc: 98.984% (2534/2560)              
 [========>........................................................] 11/79   Step: 968ms | Tot: 9s922ms | Loss: 0.058 | Acc: 98.899% (2785/2816)              
 [=========>.......................................................] 12/79   Step: 1s105ms | Tot: 11s28ms | Loss: 0.059 | Acc: 98.828% (3036/3072)              
 [=========>.......................................................] 13/79   Step: 981ms | Tot: 12s9ms | Loss: 0.059 | Acc: 98.798% (3288/3328)              
 [==========>......................................................] 14/79   Step: 960ms | Tot: 12s970ms | Loss: 0.061 | Acc: 98.689% (3537/3584)              
 [===========>.....................................................] 15/79   Step: 961ms | Tot: 13s931ms | Loss: 0.060 | Acc: 98.750% (3792/3840)              
 [============>....................................................] 16/79   Step: 1s62ms | Tot: 14s994ms | Loss: 0.060 | Acc: 98.730% (4044/4096)              
 [=============>...................................................] 17/79   Step: 962ms | Tot: 15s956ms | Loss: 0.059 | Acc: 98.805% (4300/4352)              
 [=============>...................................................] 18/79   Step: 962ms | Tot: 16s919ms | Loss: 0.060 | Acc: 98.806% (4553/4608)              
 [==============>..................................................] 19/79   Step: 960ms | Tot: 17s880ms | Loss: 0.060 | Acc: 98.828% (4807/4864)              
 [===============>.................................................] 20/79   Step: 958ms | Tot: 18s838ms | Loss: 0.061 | Acc: 98.770% (5057/5120)              
 [================>................................................] 21/79   Step: 1s63ms | Tot: 19s902ms | Loss: 0.060 | Acc: 98.772% (5310/5376)              
 [=================>...............................................] 22/79   Step: 966ms | Tot: 20s869ms | Loss: 0.060 | Acc: 98.810% (5565/5632)              
 [==================>..............................................] 23/79   Step: 966ms | Tot: 21s836ms | Loss: 0.060 | Acc: 98.777% (5816/5888)              
 [==================>..............................................] 24/79   Step: 977ms | Tot: 22s813ms | Loss: 0.060 | Acc: 98.763% (6068/6144)              
 [===================>.............................................] 25/79   Step: 965ms | Tot: 23s779ms | Loss: 0.061 | Acc: 98.734% (6319/6400)              
 [====================>............................................] 26/79   Step: 1s76ms | Tot: 24s855ms | Loss: 0.061 | Acc: 98.753% (6573/6656)              
 [=====================>...........................................] 27/79   Step: 964ms | Tot: 25s819ms | Loss: 0.061 | Acc: 98.756% (6826/6912)              
 [======================>..........................................] 28/79   Step: 968ms | Tot: 26s788ms | Loss: 0.061 | Acc: 98.772% (7080/7168)              
 [=======================>.........................................] 29/79   Step: 961ms | Tot: 27s749ms | Loss: 0.062 | Acc: 98.734% (7330/7424)              
 [=======================>.........................................] 30/79   Step: 1s68ms | Tot: 28s817ms | Loss: 0.061 | Acc: 98.750% (7584/7680)              
 [========================>........................................] 31/79   Step: 968ms | Tot: 29s785ms | Loss: 0.061 | Acc: 98.765% (7838/7936)              
 [=========================>.......................................] 32/79   Step: 962ms | Tot: 30s747ms | Loss: 0.061 | Acc: 98.767% (8091/8192)              
 [==========================>......................................] 33/79   Step: 964ms | Tot: 31s712ms | Loss: 0.061 | Acc: 98.733% (8341/8448)              
 [===========================>.....................................] 34/79   Step: 981ms | Tot: 32s693ms | Loss: 0.061 | Acc: 98.702% (8591/8704)              
 [===========================>.....................................] 35/79   Step: 1s67ms | Tot: 33s761ms | Loss: 0.062 | Acc: 98.705% (8844/8960)              
 [============================>....................................] 36/79   Step: 962ms | Tot: 34s723ms | Loss: 0.061 | Acc: 98.709% (9097/9216)              
 [=============================>...................................] 37/79   Step: 962ms | Tot: 35s685ms | Loss: 0.061 | Acc: 98.733% (9352/9472)              
 [==============================>..................................] 38/79   Step: 962ms | Tot: 36s648ms | Loss: 0.060 | Acc: 98.756% (9607/9728)              
 [===============================>.................................] 39/79   Step: 1s69ms | Tot: 37s717ms | Loss: 0.061 | Acc: 98.758% (9860/9984)              
 [================================>................................] 40/79   Step: 964ms | Tot: 38s682ms | Loss: 0.060 | Acc: 98.770% (10114/10240)              
 [================================>................................] 41/79   Step: 962ms | Tot: 39s645ms | Loss: 0.060 | Acc: 98.771% (10367/10496)              
 [=================================>...............................] 42/79   Step: 962ms | Tot: 40s607ms | Loss: 0.060 | Acc: 98.772% (10620/10752)              
 [==================================>..............................] 43/79   Step: 964ms | Tot: 41s572ms | Loss: 0.061 | Acc: 98.774% (10873/11008)              
 [===================================>.............................] 44/79   Step: 1s75ms | Tot: 42s647ms | Loss: 0.060 | Acc: 98.793% (11128/11264)              
 [====================================>............................] 45/79   Step: 963ms | Tot: 43s610ms | Loss: 0.060 | Acc: 98.793% (11381/11520)              
 [=====================================>...........................] 46/79   Step: 963ms | Tot: 44s574ms | Loss: 0.061 | Acc: 98.777% (11632/11776)              
 [=====================================>...........................] 47/79   Step: 965ms | Tot: 45s540ms | Loss: 0.061 | Acc: 98.753% (11882/12032)              
 [======================================>..........................] 48/79   Step: 1s61ms | Tot: 46s602ms | Loss: 0.061 | Acc: 98.755% (12135/12288)              
 [=======================================>.........................] 49/79   Step: 964ms | Tot: 47s566ms | Loss: 0.061 | Acc: 98.772% (12390/12544)              
 [========================================>........................] 50/79   Step: 963ms | Tot: 48s529ms | Loss: 0.060 | Acc: 98.797% (12646/12800)              
 [=========================================>.......................] 51/79   Step: 965ms | Tot: 49s495ms | Loss: 0.060 | Acc: 98.805% (12900/13056)              
 [=========================================>.......................] 52/79   Step: 962ms | Tot: 50s458ms | Loss: 0.061 | Acc: 98.798% (13152/13312)              
 [==========================================>......................] 53/79   Step: 1s64ms | Tot: 51s522ms | Loss: 0.061 | Acc: 98.806% (13406/13568)              
 [===========================================>.....................] 54/79   Step: 984ms | Tot: 52s506ms | Loss: 0.061 | Acc: 98.770% (13654/13824)              
 [============================================>....................] 55/79   Step: 967ms | Tot: 53s473ms | Loss: 0.061 | Acc: 98.793% (13910/14080)              
 [=============================================>...................] 56/79   Step: 961ms | Tot: 54s435ms | Loss: 0.061 | Acc: 98.786% (14162/14336)              
 [==============================================>..................] 57/79   Step: 963ms | Tot: 55s399ms | Loss: 0.060 | Acc: 98.801% (14417/14592)              
 [==============================================>..................] 58/79   Step: 1s67ms | Tot: 56s466ms | Loss: 0.060 | Acc: 98.801% (14670/14848)              
 [===============================================>.................] 59/79   Step: 963ms | Tot: 57s430ms | Loss: 0.060 | Acc: 98.802% (14923/15104)              
 [================================================>................] 60/79   Step: 961ms | Tot: 58s391ms | Loss: 0.061 | Acc: 98.802% (15176/15360)              
 [=================================================>...............] 61/79   Step: 962ms | Tot: 59s353ms | Loss: 0.061 | Acc: 98.815% (15431/15616)              
 [==================================================>..............] 62/79   Step: 1s64ms | Tot: 1m417ms | Loss: 0.060 | Acc: 98.822% (15685/15872)              
 [===================================================>.............] 63/79   Step: 967ms | Tot: 1m1s | Loss: 0.060 | Acc: 98.828% (15939/16128)              
 [===================================================>.............] 64/79   Step: 976ms | Tot: 1m2s | Loss: 0.060 | Acc: 98.810% (16189/16384)              
 [====================================================>............] 65/79   Step: 960ms | Tot: 1m3s | Loss: 0.060 | Acc: 98.810% (16442/16640)              
 [=====================================================>...........] 66/79   Step: 964ms | Tot: 1m4s | Loss: 0.061 | Acc: 98.793% (16692/16896)              
 [======================================================>..........] 67/79   Step: 1s62ms | Tot: 1m5s | Loss: 0.061 | Acc: 98.787% (16944/17152)              
 [=======================================================>.........] 68/79   Step: 962ms | Tot: 1m6s | Loss: 0.061 | Acc: 98.799% (17199/17408)              
 [=======================================================>.........] 69/79   Step: 964ms | Tot: 1m7s | Loss: 0.060 | Acc: 98.817% (17455/17664)              
 [========================================================>........] 70/79   Step: 964ms | Tot: 1m8s | Loss: 0.061 | Acc: 98.778% (17701/17920)              
 [=========================================================>.......] 71/79   Step: 1s63ms | Tot: 1m9s | Loss: 0.061 | Acc: 98.779% (17954/18176)              
 [==========================================================>......] 72/79   Step: 964ms | Tot: 1m10s | Loss: 0.061 | Acc: 98.779% (18207/18432)              
 [===========================================================>.....] 73/79   Step: 963ms | Tot: 1m11s | Loss: 0.061 | Acc: 98.785% (18461/18688)              
 [============================================================>....] 74/79   Step: 982ms | Tot: 1m12s | Loss: 0.061 | Acc: 98.791% (18715/18944)              
 [============================================================>....] 75/79   Step: 865ms | Tot: 1m13s | Loss: 0.061 | Acc: 98.807% (18971/19200)              
 [=============================================================>...] 76/79   Step: 953ms | Tot: 1m14s | Loss: 0.060 | Acc: 98.802% (19223/19456)              
 [==============================================================>..] 77/79   Step: 850ms | Tot: 1m14s | Loss: 0.060 | Acc: 98.808% (19477/19712)              
 [===============================================================>.] 78/79   Step: 849ms | Tot: 1m15s | Loss: 0.060 | Acc: 98.808% (19730/19968)              
 [================================================================>] 79/79   Step: 860ms | Tot: 1m16s | Loss: 0.061 | Acc: 98.800% (19760/20000)
 [>................................................................] 1/40   Step: 1s261ms | Tot: 0ms | Loss: 1.083 | Acc: 73.828% (189/256)              
 [=>...............................................................] 2/40   Step: 417ms | Tot: 417ms | Loss: 1.079 | Acc: 74.219% (380/512)              
 [===>.............................................................] 3/40   Step: 417ms | Tot: 834ms | Loss: 1.163 | Acc: 72.656% (558/768)              
